drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
20321,35833,Methscopolamine,lung disease,disease-exposure-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'TSHB', 'Methscopolamine']",0.07879297316430643
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'mucus layer', 'MUC5AC', 'Methscopolamine']",0.07867904170218441
20321,35833,Methscopolamine,lung disease,disease-exposure-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'IL6', 'Methscopolamine']",0.07867867885635127
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'mucus layer', 'ZG16', 'Methscopolamine']",0.07867311380805203
20321,35833,Methscopolamine,lung disease,disease-exposure-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'IFNG', 'Methscopolamine']",0.0786355373983412
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'HSPB1', 'Methscopolamine']",0.07862818851177587
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMB1', 'Methscopolamine']",0.07862668095196383
20321,35833,Methscopolamine,lung disease,disease-exposure-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'TNF', 'Methscopolamine']",0.07862631040129335
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMB4', 'Methscopolamine']",0.07862602192716198
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMC5', 'Methscopolamine']",0.07862593953934245
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'VCP', 'Methscopolamine']",0.07862591570536852
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'RAD23B', 'Methscopolamine']",0.07862591570536852
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMA4', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'ADRM1', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'ECPAS', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSME3', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMD12', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMD7', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMB6', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'UBE3C', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMB10', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMA6', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSME2', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMD13', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMD3', 'Methscopolamine']",0.07862576675066964
20321,35833,Methscopolamine,lung disease,disease-exposure-cellcomp-gene-drug,contraindication,"['lung disease', 'Particulate Matter', 'proteasome complex', 'PSMC4', 'Methscopolamine']",0.07862576675066964
